ip.src	ip.dst	frame.number	frame.time_relative
192.168.1.50	192.168.1.40	13010	3.079158000
192.168.1.50	192.168.1.40	13011	3.079162000
192.168.1.50	192.168.1.40	13013	3.079542000
192.168.1.50	192.168.1.40	13125	3.114830000
192.168.1.50	192.168.1.40	13126	3.114835000
192.168.1.50	192.168.1.40	13127	3.114838000
192.168.1.50	192.168.1.40	13221	3.145756000
192.168.1.50	192.168.1.40	13238	3.154483000
192.168.1.50	192.168.1.40	13240	3.154665000
192.168.1.50	192.168.1.40	13241	3.154670000
192.168.1.50	192.168.1.40	13242	3.154814000
192.168.1.50	192.168.1.40	13265	3.165682000
192.168.1.50	192.168.1.40	13318	3.189849000
192.168.1.50	192.168.1.40	13319	3.189854000
192.168.1.50	192.168.1.40	13323	3.195882000
192.168.1.50	192.168.1.40	13401	3.215483000
192.168.1.50	192.168.1.40	13429	3.225088000
192.168.1.50	192.168.1.40	13431	3.225096000
192.168.1.50	192.168.1.40	13432	3.225259000
192.168.1.50	192.168.1.40	13435	3.225552000
192.168.1.50	192.168.1.40	13476	3.236356000
192.168.1.50	192.168.1.40	13477	3.236362000
192.168.1.50	192.168.1.40	13478	3.236555000
192.168.1.50	192.168.1.40	13572	3.255796000
192.168.1.50	192.168.1.40	13677	3.286362000
192.168.1.50	192.168.1.40	13678	3.286367000
192.168.1.50	192.168.1.40	13679	3.286371000
192.168.1.50	192.168.1.40	13681	3.286603000
192.168.1.50	192.168.1.40	13699	3.290727000
192.168.1.50	192.168.1.40	13700	3.290732000
192.168.1.50	192.168.1.40	13701	3.290941000
192.168.1.50	192.168.1.40	13705	3.296932000
192.168.1.50	192.168.1.40	13872	3.336776000
192.168.1.50	192.168.1.40	13873	3.336781000
192.168.1.50	192.168.1.40	13874	3.336784000
192.168.1.50	192.168.1.40	13875	3.337042000
192.168.1.50	192.168.1.40	13936	3.347480000
192.168.1.50	192.168.1.40	13938	3.347492000
192.168.1.50	192.168.1.40	13939	3.347641000
192.168.1.50	192.168.1.40	13940	3.347645000
192.168.1.50	192.168.1.40	14035	3.381734000
192.168.1.50	192.168.1.40	14039	3.387894000
192.168.1.50	192.168.1.40	14040	3.387898000
192.168.1.50	192.168.1.40	14041	3.388099000
192.168.1.50	192.168.1.40	14172	3.428280000
